review_content,review_rating,raw_cooking_surface,overall_cooking_surface,cooking_surface_opinion,cooking_surface,raw_portability,overall_portability,portability_opinion,portability,raw_heat_control,overall_heat_control,heat_control_opinion,heat_control,raw_durability,overall_durability,durability_opinion,durability,raw_accessories,overall_accessories,accessories_opinion,accessories
"have it tested before leaving the store: The first one I bought was defective, I think improperly assembled. Assembly was an issue also, it was 2 days overdue, an extra trip, an hour of my time, plus a gallon plus of gas. 
This one I bought for $298, on sale from $349.
I again had to drive to the store, an hour, gal+ gas, to see how to handle the defective griddle. I was told to bring it back for a refund/replacement. Another extra trip, an hour, gal+ gas. Knowing assembly would again be required, customer service determined the best w...[Rating - 5/5]",5,"1. The overall review is NEGATIVE
2. The reviewer mentions that the griddle was defective and had to be returned for a refund/replacement.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer mentions that the griddle was defective and had to be returned for a refund/replacement.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions having to drive to the store multiple times to handle the defective griddle.
3. The reviewer's opinion on the portability is NEGATIVE as they had to make multiple trips to the store, which was time-consuming and required a lot of gas.",NEGATIVE,The reviewer mentions having to drive to the store multiple times to handle the defective griddle.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the griddle they purchased was defective and they had to drive back to the store to handle the issue.
3. The reviewer's opinion on the heat_control is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the griddle they purchased was defective and they had to drive back to the store to handle the issue.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the first griddle they bought was defective and improperly assembled, leading to issues with durability.
3. The reviewer's opinion on durability is NEGATIVE, as they had to go through multiple trips and wasted time and gas due to the defective griddle.",NEGATIVE,"The reviewer mentions that the first griddle they bought was defective and improperly assembled, leading to issues with durability.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they had to drive back to the store to handle the defective griddle, which suggests that the accessories were not functioning properly.
3. The reviewer's opinion on the accessories is NEGATIVE as they had to go through extra trips and time-consuming processes to deal with the defective griddle.",NEGATIVE,"The reviewer mentions that they had to drive back to the store to handle the defective griddle, which suggests that the accessories were not functioning properly.",NEGATIVE
"More Hype Than Quality! Skip buying this griddle.: Purchased a Blackstone Griddle, model 2355, on the Friday evening before Memorial Day weekend 2024. Assembled the next day and attempted to register this unit for warranty online.  Before I completed the assembly, I noticed two significant problems. First, the paint finish on the lid portion was defective with an area that did not get painted. Not only is this very unsightly, but you can bet my new griddle will be rusting on the lid within days of me placing it outside.
The second and even more ...[Rating - 1/5]",1,"1. The overall review is NEGATIVE
2. The reviewer talks about the defective paint finish on the lid portion of the griddle.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer talks about the defective paint finish on the lid portion of the griddle.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they noticed two significant problems with the griddle, but does not specifically mention the heat_control aspect.
3. The reviewer does not mention their opinion on the heat_control aspect.",NEGATIVE,"The reviewer mentions that they noticed two significant problems with the griddle, but does not specifically mention the heat_control aspect.",NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer talks about the defective paint finish on the lid portion of the griddle and expresses concern that it will lead to rusting.
3. The reviewer's opinion on the durability is NEGATIVE.",NEGATIVE,The reviewer talks about the defective paint finish on the lid portion of the griddle and expresses concern that it will lead to rusting.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
Good product but beware!: I love the grill itself. But the knobs do not fit correctly.  But I had already seasoned the grill top before realizing the knobs just won't work.   So now I have to slide the knobs off to to turn the valves on then put the knobs back on to control the heat levels.   It recommends replacing the valves when the knobs don't fit but I am not buying more parts when I just bought the grill plus the valves work fine. The knobs are just defective.[Rating - 3/5],3,"1. The overall review is NEGATIVE
2. The reviewer mentions that they love the grill itself, but the knobs do not fit correctly.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,"The reviewer mentions that they love the grill itself, but the knobs do not fit correctly.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knobs do not fit correctly, which affects the ability to control the heat levels.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,"The reviewer mentions that the knobs do not fit correctly, which affects the ability to control the heat levels.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the knobs do not fit correctly, which affects the functionality of the grill.
3. The reviewer's opinion on the durability is NEGATIVE, as they mention that the knobs are defective and do not work properly.",NEGATIVE,"The reviewer mentions that the knobs do not fit correctly, which affects the functionality of the grill.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that the knobs do not fit correctly and that they have to slide them off to turn the valves on and then put them back on to control the heat levels.
3. The reviewer's opinion on the accessories is NEGATIVE as they find the knobs to be defective and not working properly.",NEGATIVE,The reviewer mentions that the knobs do not fit correctly and that they have to slide them off to turn the valves on and then put them back on to control the heat levels.,NEGATIVE
"Where is customer service?: It was fine except for one of the gas knobs that wouldn’t work. I had to switch knobs or pull the knob off and turn the stem. Not the end of the world, but after submitting two online requests and waiting on hold for over 15 minutes two times, I gave up and returned the griddle. I never did get in touch with customer service. And this would seem to be a known problem based on the number of reviews with the same issue.[Rating - 2/5]",2,"1. The overall review is NEGATIVE.
2. The reviewer mentions that one of the gas knobs didn't work properly.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer mentions that one of the gas knobs didn't work properly.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that one of the gas knobs wouldn't work and had to switch knobs or pull the knob off and turn the stem.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,The reviewer mentions that one of the gas knobs wouldn't work and had to switch knobs or pull the knob off and turn the stem.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that one of the gas knobs on the griddle wouldn't work.
3. The reviewer's opinion on the durability is NEGATIVE as they had issues with the gas knob not working properly.",NEGATIVE,The reviewer mentions that one of the gas knobs on the griddle wouldn't work.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. The sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Look the item over very carefully.: I am not sure what I like or don't like yet. I have not used it. I hope it is what I wanted. So far, the only problem was caused by Lowe's. When the employee put it together, they put the bottom shelf upside down. When I tried to register my grill, I couldn't find the serial number. My neighbor came over and flipped the bottom shelf over for me. I really didn't want to have to load and unload the grill and drive to the store to that fixed.[Rating - 4/5]",4,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the bottom shelf of the grill was put together upside down by Lowe's employees.
3. The reviewer does not mention their opinion on the cooking_surface specifically.",NEUTRAL,The reviewer mentions that the bottom shelf of the grill was put together upside down by Lowe's employees.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions the issue with the bottom shelf being put upside down by Lowe's employees and having to flip it over with the help of a neighbor.
3. The sentiment on portability is NOT MENTIONED.",NEUTRAL,The reviewer mentions the issue with the bottom shelf being put upside down by Lowe's employees and having to flip it over with the help of a neighbor.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer does not specifically mention the heat_control aspect of the product.
3. The sentiment on heat_control is NOT MENTIONED.",NEUTRAL,The reviewer does not specifically mention the heat_control aspect of the product.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions the issue with the bottom shelf being put upside down by Lowe's employees and the difficulty in finding the serial number.
3. The reviewer does not specifically mention their opinion on the durability of the griddle, so it is NOT MENTIONED.",NEUTRAL,The reviewer mentions the issue with the bottom shelf being put upside down by Lowe's employees and the difficulty in finding the serial number.,NOT MENTIONED,"1. The overall review is NEUTRAL.
2. The reviewer mentions that the grill came with a bottom shelf that was put together upside down by Lowe's employees.
3. The reviewer does not specifically mention their opinion on the accessories, so it is NOT MENTIONED.",NEUTRAL,The reviewer mentions that the grill came with a bottom shelf that was put together upside down by Lowe's employees.,NOT MENTIONED
"Beware of the free assembly: Not gonna hold this against Blackstone. The igniter didn’t work when I got it home and both the flame control knobs have come off. I guess this is why the “assembly” offered by Lowe’s was
free.[Rating - 3/5]",3,"1. The overall review is NEGATIVE
2. The reviewer mentions that the igniter didn't work and the flame control knobs came off, but does not specifically mention the cooking surface.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,"The reviewer mentions that the igniter didn't work and the flame control knobs came off, but does not specifically mention the cooking surface.",NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that the igniter didn't work when they got it home and that the flame control knobs have come off.
3. The reviewer's opinion on the portability is NOT MENTIONED.",NEGATIVE,The reviewer mentions that the igniter didn't work when they got it home and that the flame control knobs have come off.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that both the flame control knobs have come off, indicating issues with the heat_control.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,"The reviewer mentions that both the flame control knobs have come off, indicating issues with the heat_control.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the igniter didn't work when they got it home and that the flame control knobs have come off.
3. The reviewer's opinion on durability is NEGATIVE",NEGATIVE,The reviewer mentions that the igniter didn't work when they got it home and that the flame control knobs have come off.,NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer does not mention any accessories in the review.
3. The reviewer's opinion on the accessories is NOT MENTIONED",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
": Purchased from Lowe’s pre assembled.  When I went to use the left igniter didn’t work and the knobs wouldn’t stay on the grill. Took it back and replaced it with another one. Still issues unable to get the grill to reach desired temperature after be on for an hour. Also same issue with left igniter and left knob. Taken it back for a refund. Even though it was on sale, thought Blackstone was a quality product no matter the cost.[Rating - 1/5]",1,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they were unable to get the grill to reach the desired temperature after being on for an hour.
3. The reviewer's opinion on the cooking_surface is NOT MENTIONED.",NEGATIVE,The reviewer mentions that they were unable to get the grill to reach the desired temperature after being on for an hour.,NOT MENTIONED,"1. The overall review is NEGATIVE.
2. The reviewer does not specifically mention portability in the review.
3. Since portability is not mentioned, the sentiment on portability is NOT MENTIONED.",NEGATIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is NEGATIVE
2. The reviewer mentions that they were unable to get the grill to reach the desired temperature after being on for an hour.
3. The reviewer's opinion on the heat_control is NEGATIVE",NEGATIVE,The reviewer mentions that they were unable to get the grill to reach the desired temperature after being on for an hour.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions issues with the left igniter not working, knobs not staying on the grill, and difficulty reaching desired temperature after being on for an hour.
3. The reviewer's opinion on durability is NEGATIVE as they experienced issues with the product not functioning properly even after replacing it with another one.",NEGATIVE,"The reviewer mentions issues with the left igniter not working, knobs not staying on the grill, and difficulty reaching desired temperature after being on for an hour.",NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer does not mention any accessories in the review.
3. Since the reviewer does not mention any accessories, the sentiment on accessories is NOT MENTIONED.",NEGATIVE,The reviewer does not mention any accessories in the review.,NOT MENTIONED
"Faulty knob: I love the griddle, we got it and took it away for a long weekend of camping. When we put it together, the knob on tge one side does not turn. We were unable to return it since we had no choice but to use it for a few days. Now, when i turn on the one side i have to remove the knob and put it on the other side to turn it on.[Rating - 4/5]",4,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knob on one side of the griddle does not turn properly.
3. Sentiment on cooking_surface is NEGATIVE",NEGATIVE,The reviewer mentions that the knob on one side of the griddle does not turn properly.,NEGATIVE,"1. The overall review is NEGATIVE.
2. The reviewer mentions that they took the griddle away for a long weekend of camping, indicating that portability was a factor in their decision to purchase the product.
3. The reviewer's opinion on the portability is NEGATIVE, as they experienced an issue with the knob on one side of the griddle which affected its functionality during their camping trip.",NEGATIVE,"The reviewer mentions that they took the griddle away for a long weekend of camping, indicating that portability was a factor in their decision to purchase the product.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knob on one side of the griddle does not turn, causing inconvenience in turning on the heat.
3. The reviewer's opinion on the heat_control is NEGATIVE.",NEGATIVE,"The reviewer mentions that the knob on one side of the griddle does not turn, causing inconvenience in turning on the heat.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions that the knob on one side of the griddle does not turn, indicating a potential issue with the durability of the product.
3. The reviewer's opinion on the durability is NEGATIVE, as they experienced a faulty knob shortly after purchasing the griddle.",NEGATIVE,"The reviewer mentions that the knob on one side of the griddle does not turn, indicating a potential issue with the durability of the product.",NEGATIVE,"1. The overall review is NEGATIVE
2. The reviewer mentions the knob on one side of the griddle not turning properly.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",NEGATIVE,The reviewer mentions the knob on one side of the griddle not turning properly.,NOT MENTIONED
the best griddle made: great product. works better than advertised. even heat. loved it so much with the niteside dinner grilling job we cooked breakfest the next morning on it. work outstanding.[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer talks about the even heat distribution and the fact that it works better than advertised.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer talks about the even heat distribution and the fact that it works better than advertised.,POSITIVE,"1. The overall review is POSITIVE.
2. The reviewer does not specifically mention portability in the review.
3. The sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE.
2. The reviewer mentions that the griddle has even heat distribution.
3. The reviewer's opinion on the heat_control is POSITIVE.",POSITIVE,The reviewer mentions that the griddle has even heat distribution.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle is the best made and works better than advertised.
3. The reviewer's opinion on durability is POSITIVE.",POSITIVE,The reviewer mentions that the griddle is the best made and works better than advertised.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions using the griddle for a ""niteside dinner grilling job"" and then cooking breakfast the next morning on it.
3. The reviewer's opinion on the accessories is NOT MENTIONED.",POSITIVE,"The reviewer mentions using the griddle for a ""niteside dinner grilling job"" and then cooking breakfast the next morning on it.",NOT MENTIONED
28 inch Blackstone: The first one i bought had a defect and wouldn't ignite. But Lowes gave me the option to exchange it or call Blackstone. Did an exchange quick and easy. Dont expect to fire it up and start cooking. The griddle needs to be seasoned and I spent about 2 hours doing that but if you follow the instructions and season it properly food wont stick and makes cleanup afterwards a breeze. If I were to buy another one I would buy a larger size thanthe 28 inch just to have more room to separate the different...[Rating - 5/5],5,"1. The overall review is POSITIVE
2. The reviewer talks about the need to season the griddle and the ease of cleanup afterwards.
3. Sentiment on cooking_surface is POSITIVE",POSITIVE,The reviewer talks about the need to season the griddle and the ease of cleanup afterwards.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention portability in the review.
3. Since the reviewer does not mention portability, the sentiment on portability is NOT MENTIONED.",POSITIVE,The reviewer does not specifically mention portability in the review.,NOT MENTIONED,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle needs to be seasoned properly before use.
3. The reviewer's opinion on the heat_control is POSITIVE, as they mention that if the griddle is seasoned properly, food won't stick and cleanup is easy.",POSITIVE,The reviewer mentions that the griddle needs to be seasoned properly before use.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer mentions that the griddle needs to be seasoned properly and that following the instructions results in food not sticking and easy cleanup.
3. The reviewer's opinion on durability is POSITIVE",POSITIVE,The reviewer mentions that the griddle needs to be seasoned properly and that following the instructions results in food not sticking and easy cleanup.,POSITIVE,"1. The overall review is POSITIVE
2. The reviewer does not specifically mention any accessories included in the bundle.
3. The sentiment on accessories is NOT MENTIONED",POSITIVE,The reviewer does not specifically mention any accessories included in the bundle.,NOT MENTIONED
